Home,xG,Score,xG,Away
Everton,1.2,0–1,0.7,Aston Villa
Chelsea,0.9,2–0,0.4,Tottenham
Leicester City,2.4,1–1,1.3,Brighton
Arsenal,1.2,0–0,0.4,Burnley
Crystal Palace,2.2,1–3,1.7,Liverpool
Burnley,0.8,0–0,1.0,Watford
Burnley,0.6,1–1,2.1,Manchester Utd
Newcastle Utd,2.3,3–1,0.6,Everton
West Ham,0.7,1–0,0.3,Watford
Aston Villa,1.8,3–3,1.9,Leeds United
Norwich City,0.5,1–1,1.2,Crystal Palace
Tottenham,1.5,2–3,2.6,Southampton
Manchester City,2.0,2–0,0.7,Brentford
Wolves,1.0,0–1,1.8,Arsenal
Liverpool,2.8,2–0,0.3,Leicester City
Norwich City,0.5,0–4,4.4,Manchester City
Watford,0.5,0–2,1.4,Brighton
Brentford,1.5,0–0,0.5,Crystal Palace
Chelsea,,,,Arsenal
Everton,2.1,3–0,0.3,Leeds United
Manchester Utd,2.1,1–1,1.1,Southampton
Leicester City,1.3,2–2,0.7,West Ham
Newcastle Utd,0.4,1–0,0.4,Aston Villa
Tottenham,1.6,0–2,1.3,Wolves
Burnley,0.8,0–1,1.6,Liverpool
